exercicio,periodo,periodo_ref,uf,instituicao,cod_ibge,valor_12m,valor_12m_bilhoes
2025,1,2025B1,RN,Governo do Estado do Rio Grande do Norte,24,8570300055.07,8.57030005507
2025,2,2025B2,RN,Governo do Estado do Rio Grande do Norte,24,8736113212.66,8.73611321266
2026,1,2026B1,RN,Governo do Estado do Rio Grande do Norte,24,9594995968.16,9.59499596816
2026,2,2026B2,RN,Governo do Estado do Rio Grande do Norte,24,9848491155.72,9.84849115572
2022,1,2022B1,RO,Governo do Estado de Rondônia,11,6027458780.54,6.02745878054
2022,2,2022B2,RO,Governo do Estado de Rondônia,11,6177303348.39,6.177303348390001
2023,1,2023B1,RO,Governo do Estado de Rondônia,11,5785614871.92,5.78561487192
2023,2,2023B2,RO,Governo do Estado de Rondônia,11,5793266681.84,5.7932666818400005
2024,1,2024B1,RO,Governo do Estado de Rondônia,11,6461195167.76,6.461195167760001
2024,2,2024B2,RO,Governo do Estado de Rondônia,11,6615077970.56,6.615077970560001
2025,1,2025B1,RO,Governo do Estado de Rondônia,11,7540671675.65,7.54067167565
2025,2,2025B2,RO,Governo do Estado de Rondônia,11,7618440724.27,7.61844072427
2026,1,2026B1,RO,Governo do Estado de Rondônia,11,8208490557.24,8.20849055724
2026,2,2026B2,RO,Governo do Estado de Rondônia,11,8380692378.7,8.3806923787
2022,1,2022B1,RR,Governo do Estado de Roraima,14,1627336523.75,1.62733652375
2022,2,2022B2,RR,Governo do Estado de Roraima,14,1684342846.47,1.68434284647
2023,1,2023B1,RR,Governo do Estado de Roraima,14,1553989017.38,1.5539890173800002
2023,2,2023B2,RR,Governo do Estado de Roraima,14,1491505736.91,1.49150573691
2024,1,2024B1,RR,Governo do Estado de Roraima,14,1757923446.05,1.75792344605
2024,2,2024B2,RR,Governo do Estado de Roraima,14,1817362427.18,1.81736242718
2025,1,2025B1,RR,Governo do Estado de Roraima,14,2054390874.36,2.0543908743599997
2025,2,2025B2,RR,Governo do Estado de Roraima,14,2076552812.1,2.0765528121
2026,1,2026B1,RR,Governo do Estado de Roraima,14,2124268926.34,2.12426892634
2026,2,2026B2,RR,Governo do Estado de Roraima,14,2145181604.64,2.1451816046400003
2022,1,2022B1,RS,Governo do Estado do Rio Grande do Sul,43,48154640049.64,48.15464004964
2022,2,2022B2,RS,Governo do Estado do Rio Grande do Sul,43,48583744467.86,48.58374446786
2023,1,2023B1,RS,Governo do Estado do Rio Grande do Sul,43,42545076554.75,42.54507655475
2023,2,2023B2,RS,Governo do Estado do Rio Grande do Sul,43,41953810368.78,41.95381036878
2024,1,2024B1,RS,Governo do Estado do Rio Grande do Sul,43,46458732520.2,46.458732520199995
2024,2,2024B2,RS,Governo do Estado do Rio Grande do Sul,43,47391370317.14,47.39137031714
2025,1,2025B1,RS,Governo do Estado do Rio Grande do Sul,43,51053288474.43,51.05328847443
