exercicio,periodo,periodo_ref,uf,instituicao,cod_ibge,valor_12m,valor_12m_bilhoes,valor_12m_ano_anterior,crescimento_yoy,crescimento_yoy_pct
2024,1,2024B1,MS,Governo do Estado do Mato Grosso do Sul,50,15810984884.31,15.810984884309999,14315140894.91,0.10449383630809206,10.449383630809205
2024,2,2024B2,MS,Governo do Estado do Mato Grosso do Sul,50,15942636523.67,15.94263652367,14585383738.06,0.09305567888956534,9.305567888956535
2025,1,2025B1,MS,Governo do Estado do Mato Grosso do Sul,50,17031971167.37,17.03197116737,15810984884.31,0.07722392324033178,7.722392324033178
2025,2,2025B2,MS,Governo do Estado do Mato Grosso do Sul,50,17245542519.78,17.24554251978,15942636523.67,0.08172462529491753,8.172462529491753
2026,1,2026B1,MS,Governo do Estado do Mato Grosso do Sul,50,17615838046.79,17.61583804679,17031971167.37,0.03428064043101342,3.428064043101342
2026,2,2026B2,MS,Governo do Estado do Mato Grosso do Sul,50,17691947392.34,17.69194739234,17245542519.78,0.02588523220118999,2.588523220118999
2022,1,2022B1,MT,Governo do Estado do Mato Grosso,51,19442370796.54,19.44237079654,NA,NA,NA
2022,2,2022B2,MT,Governo do Estado do Mato Grosso,51,20115426180.29,20.11542618029,NA,NA,NA
2023,1,2023B1,MT,Governo do Estado do Mato Grosso,51,19567045051.01,19.56704505101,19442370796.54,0.00641250266105331,0.641250266105331
2023,2,2023B2,MT,Governo do Estado do Mato Grosso,51,19623665654.87,19.62366565487,20115426180.29,-0.02444693545204879,-2.444693545204879
2024,1,2024B1,MT,Governo do Estado do Mato Grosso,51,21370262370.79,21.37026237079,19567045051.01,0.0921558321698106,9.21558321698106
2024,2,2024B2,MT,Governo do Estado do Mato Grosso,51,21525404968.64,21.52540496864,19623665654.87,0.09691050322690575,9.691050322690575
2025,1,2025B1,MT,Governo do Estado do Mato Grosso,51,23369640342.36,23.36964034236,21370262370.79,0.09355888743335483,9.355888743335484
2025,2,2025B2,MT,Governo do Estado do Mato Grosso,51,23994469004.71,23.994469004709998,21525404968.64,0.11470464967637728,11.470464967637728
2026,1,2026B1,MT,Governo do Estado do Mato Grosso,51,26441846850.8,26.441846850799998,23369640342.36,0.13146143729355098,13.146143729355098
2026,2,2026B2,MT,Governo do Estado do Mato Grosso,51,26920597419.58,26.92059741958,23994469004.71,0.12195012168411057,12.195012168411058
2022,1,2022B1,PA,Governo do Estado do Pará,15,18471454290.12,18.47145429012,NA,NA,NA
2022,2,2022B2,PA,Governo do Estado do Pará,15,19168027767.52,19.16802776752,NA,NA,NA
2023,1,2023B1,PA,Governo do Estado do Pará,15,18910792554.37,18.910792554369998,18471454290.12,0.02378471436788776,2.378471436788776
2023,2,2023B2,PA,Governo do Estado do Pará,15,18768607218.77,18.76860721877,19168027767.52,-0.020837853199837997,-2.0837853199837997
2024,1,2024B1,PA,Governo do Estado do Pará,15,21606025499.83,21.60602549983,18910792554.37,0.14252353187794742,14.252353187794743
2024,2,2024B2,PA,Governo do Estado do Pará,15,22160580618.32,22.16058061832,18768607218.77,0.18072589830521757,18.072589830521757
2025,1,2025B1,PA,Governo do Estado do Pará,15,24599085022.26,24.59908502226,21606025499.83,0.1385289266854539,13.85289266854539
2025,2,2025B2,PA,Governo do Estado do Pará,15,24775750741.41,24.77575074141,22160580618.32,0.1180100001950335,11.801000019503348
2026,1,2026B1,PA,Governo do Estado do Pará,15,25296165260.86,25.29616526086,24599085022.26,0.028337649061711323,2.8337649061711323
2026,2,2026B2,PA,Governo do Estado do Pará,15,25596734904.06,25.59673490406,24775750741.41,0.0331366008327576,3.31366008327576
2022,1,2022B1,PB,Governo do Estado da Paraíba,25,7650698323.75,7.65069832375,NA,NA,NA
2022,2,2022B2,PB,Governo do Estado da Paraíba,25,7778183099.1,7.7781830991000005,NA,NA,NA
2023,1,2023B1,PB,Governo do Estado da Paraíba,25,7598298680.17,7.59829868017,7650698323.75,-0.006849001406490696,-0.6849001406490696
2023,2,2023B2,PB,Governo do Estado da Paraíba,25,7612390038.87,7.61239003887,7778183099.1,-0.0213151398106306,-2.13151398106306
2024,1,2024B1,PB,Governo do Estado da Paraíba,25,8251839163.58,8.25183916358,7598298680.17,0.08601142320393462,8.601142320393462
2024,2,2024B2,PB,Governo do Estado da Paraíba,25,8538057901.51,8.538057901510001,7612390038.87,0.12160016209277269,12.16001620927727
2025,1,2025B1,PB,Governo do Estado da Paraíba,25,9895868148.58,9.89586814858,8251839163.58,0.19923182607048662,19.923182607048663
2025,2,2025B2,PB,Governo do Estado da Paraíba,25,10025371813.5,10.0253718135,8538057901.51,0.1741981524541969,17.41981524541969
2026,1,2026B1,PB,Governo do Estado da Paraíba,25,10734210437.37,10.73421043737,9895868148.58,0.08471639639926876,8.471639639926876
2026,2,2026B2,PB,Governo do Estado da Paraíba,25,10883534377.1,10.8835343771,10025371813.5,0.08559907598084426,8.559907598084425
2022,1,2022B1,PE,Governo do Estado de Pernambuco,26,21001947762.76,21.001947762759997,NA,NA,NA
2022,2,2022B2,PE,Governo do Estado de Pernambuco,26,21419789998.75,21.41978999875,NA,NA,NA
2023,1,2023B1,PE,Governo do Estado de Pernambuco,26,21465162979.71,21.465162979709998,21001947762.76,0.022055821782937635,2.2055821782937635
2023,2,2023B2,PE,Governo do Estado de Pernambuco,26,21205098404.09,21.205098404090002,21419789998.75,-0.010023048530005574,-1.0023048530005574
2024,1,2024B1,PE,Governo do Estado de Pernambuco,26,21972669317.63,21.97266931763,21465162979.71,0.023643255744189906,2.3643255744189906
2024,2,2024B2,PE,Governo do Estado de Pernambuco,26,22892421302.11,22.89242130211,21205098404.09,0.07957156651037067,7.957156651037067
2025,1,2025B1,PE,Governo do Estado de Pernambuco,26,26636863074.22,26.636863074220003,21972669317.63,0.21227251405670744,21.227251405670742
2025,2,2025B2,PE,Governo do Estado de Pernambuco,26,26787642686.6,26.787642686599998,22892421302.11,0.17015331550494284,17.015331550494285
