exercicio,periodo,uf,instituicao,cod_ibge,valor_bimestre,valor_bimestre_bilhoes,periodo_ref,valor_bimestre_ano_anterior,crescimento_yoy,crescimento_yoy_pct
2026,2,PA,Governo do Estado do Pará,15,4033250591.5899997,4.03325059159,2026B2,3732680948.39,0.08052379706592472,8.052379706592472
2022,1,PB,Governo do Estado da Paraíba,25,1406632256.5900002,1.4066322565900002,2022B1,NA,NA,NA
2022,2,PB,Governo do Estado da Paraíba,25,1221312638.02,1.22131263802,2022B2,NA,NA,NA
2023,1,PB,Governo do Estado da Paraíba,25,1332595585.63,1.33259558563,2023B1,1406632256.5900002,-0.05263399201400509,-5.263399201400509
2023,2,PB,Governo do Estado da Paraíba,25,1235403996.72,1.2354039967200001,2023B2,1221312638.02,0.011537880032785885,1.1537880032785885
2024,1,PB,Governo do Estado da Paraíba,25,1539398533.13,1.5393985331300002,2024B1,1332595585.63,0.15518807786101996,15.518807786101995
2024,2,PB,Governo do Estado da Paraíba,25,1521622734.65,1.5216227346500002,2024B2,1235403996.72,0.23168027518925904,23.168027518925904
2025,1,PB,Governo do Estado da Paraíba,25,1722006708.3600001,1.7220067083600001,2025B1,1539398533.13,0.11862306693167346,11.862306693167346
2025,2,PB,Governo do Estado da Paraíba,25,1651126399.5700002,1.65112639957,2025B2,1521622734.65,0.08510891824298894,8.510891824298895
2026,1,PB,Governo do Estado da Paraíba,25,1902119353.49,1.90211935349,2026B1,1722006708.3600001,0.10459462454797008,10.45946245479701
2026,2,PB,Governo do Estado da Paraíba,25,1800450339.3,1.8004503393,2026B2,1651126399.5700002,0.09043761868799871,9.043761868799871
2022,1,PE,Governo do Estado de Pernambuco,26,3334087285.26,3.3340872852600003,2022B1,NA,NA,NA
2022,2,PE,Governo do Estado de Pernambuco,26,3486283180.31,3.48628318031,2022B2,NA,NA,NA
2023,1,PE,Governo do Estado de Pernambuco,26,3450766619.71,3.45076661971,2023B1,3334087285.26,0.03499588477057558,3.499588477057558
2023,2,PE,Governo do Estado de Pernambuco,26,3226218604.69,3.22621860469,2023B2,3486283180.31,-0.07459651501886166,-7.459651501886166
2024,1,PE,Governo do Estado de Pernambuco,26,4096357745.58,4.09635774558,2024B1,3450766619.71,0.1870862903861794,18.708629038617943
2024,2,PE,Governo do Estado de Pernambuco,26,4145970589.17,4.14597058917,2024B2,3226218604.69,0.2850866903882283,28.50866903882283
2025,1,PE,Governo do Estado de Pernambuco,26,4576247776.360001,4.576247776360001,2025B1,4096357745.58,0.11715042010132182,11.715042010132182
2025,2,PE,Governo do Estado de Pernambuco,26,4296750201.55,4.29675020155,2025B2,4145970589.17,0.03636774770517248,3.636774770517248
2026,1,PE,Governo do Estado de Pernambuco,26,4705324675.65,4.70532467565,2026B1,4576247776.360001,0.02820583709579383,2.820583709579383
2026,2,PE,Governo do Estado de Pernambuco,26,4636853018.74,4.63685301874,2026B2,4296750201.55,0.07915350002597576,7.9153500025975765
2022,1,PI,Governo do Estado do Piauí,22,986519046.96,0.98651904696,2022B1,NA,NA,NA
2022,2,PI,Governo do Estado do Piauí,22,915060186.13,0.91506018613,2022B2,NA,NA,NA
2023,1,PI,Governo do Estado do Piauí,22,959880997.9,0.9598809978999999,2023B1,986519046.96,-0.027002062597864973,-2.7002062597864973
2023,2,PI,Governo do Estado do Piauí,22,913290318.9200001,0.9132903189200001,2023B2,915060186.13,-0.0019341538806153524,-0.19341538806153524
2024,1,PI,Governo do Estado do Piauí,22,1241277513.65,1.24127751365,2024B1,959880997.9,0.2931577105554035,29.315771055540353
2024,2,PI,Governo do Estado do Piauí,22,1142332283.87,1.1423322838699999,2024B2,913290318.9200001,0.2507876851479718,25.07876851479718
2025,1,PI,Governo do Estado do Piauí,22,1290484637.5700002,1.29048463757,2025B1,1241277513.65,0.03964232283182634,3.9642322831826338
2025,2,PI,Governo do Estado do Piauí,22,1251924064.51,1.25192406451,2025B2,1142332283.87,0.0959368672210894,9.593686722108941
2026,1,PI,Governo do Estado do Piauí,22,1511897390.25,1.51189739025,2026B1,1290484637.5700002,0.17157333472556724,17.157333472556722
2026,2,PI,Governo do Estado do Piauí,22,1453760173.1599998,1.4537601731599998,2026B2,1251924064.51,0.16122072765571294,16.122072765571293
2022,1,PR,Governo do Estado do Paraná,41,7228646725.35,7.22864672535,2022B1,NA,NA,NA
2022,2,PR,Governo do Estado do Paraná,41,7406247979.51,7.40624797951,2022B2,NA,NA,NA
2023,1,PR,Governo do Estado do Paraná,41,6220110723.5,6.2201107235,2023B1,7228646725.35,-0.13951933745955314,-13.951933745955314
2023,2,PR,Governo do Estado do Paraná,41,6980127774.88,6.98012777488,2023B2,7406247979.51,-0.057535233198901414,-5.753523319890141
2024,1,PR,Governo do Estado do Paraná,41,7708710115.7,7.7087101157,2024B1,6220110723.5,0.23932040093369555,23.932040093369555
2024,2,PR,Governo do Estado do Paraná,41,8300446148.559999,8.300446148559999,2024B2,6980127774.88,0.18915389750192624,18.915389750192624
